Test Points Classification Results
fs (kPa)        qE (MPa)        P(soil1)        P(soil2)        P(soil3)        P(soil4)        Max Prob Soil  
12.03           1.04            0.0001          0.7095          0.2900          0.0004          soil2          
12.13           1.04            0.0001          0.7073          0.2922          0.0004          soil2          
12.23           1.04            0.0001          0.7051          0.2943          0.0005          soil2          
12.33           1.05            0.0001          0.7029          0.2966          0.0005          soil2          
12.43           1.05            0.0001          0.7006          0.2988          0.0005          soil2          
12.53           1.05            0.0001          0.6984          0.3011          0.0005          soil2          
12.63           1.05            0.0001          0.6961          0.3033          0.0005          soil2          
12.73           1.05            0.0001          0.6938          0.3056          0.0005          soil2          
12.83           1.05            0.0001          0.6914          0.3080          0.0005          soil2          
14.62           1.05            0.0001          0.6802          0.3191          0.0006          soil2          
26.54           1.81            0.0000          0.0002          0.9482          0.0516          soil3          
23.44           0.47            0.3489          0.4960          0.1548          0.0003          soil2          
12.34           0.36            0.7919          0.1808          0.0272          0.0000          soil1          
22.73           0.50            0.4110          0.4657          0.1230          0.0002          soil2          
16.07           0.49            0.7466          0.2219          0.0314          0.0000          soil1          
11.78           0.48            0.8348          0.1493          0.0159          0.0000          soil1          
13.92           0.54            0.7734          0.2037          0.0229          0.0000          soil1          
19.17           0.53            0.6153          0.3275          0.0571          0.0001          soil1          
17.37           0.50            0.7014          0.2584          0.0402          0.0000          soil1          
20.63           0.71            0.2389          0.6410          0.1198          0.0002          soil2          
19.91           0.72            0.2437          0.6425          0.1136          0.0002          soil2          
11.96           0.47            0.8357          0.1480          0.0163          0.0000          soil1          
11.94           0.48            0.8343          0.1495          0.0162          0.0000          soil1          
12.56           0.51            0.8169          0.1653          0.0178          0.0000          soil1          
11.98           0.54            0.7976          0.1841          0.0184          0.0000          soil1          
11.76           0.52            0.8173          0.1660          0.0167          0.0000          soil1          
11.68           0.52            0.8194          0.1641          0.0165          0.0000          soil1          
11.93           0.56            0.7831          0.1975          0.0194          0.0000          soil1          
12.20           0.56            0.7785          0.2014          0.0201          0.0000          soil1          
12.68           0.56            0.7743          0.2047          0.0210          0.0000          soil1          
13.69           0.57            0.7502          0.2253          0.0245          0.0000          soil1          
13.57           0.57            0.7490          0.2266          0.0244          0.0000          soil1          
13.77           0.58            0.7372          0.2370          0.0257          0.0000          soil1          
12.75           0.59            0.7390          0.2369          0.0241          0.0000          soil1          
12.40           0.59            0.7423          0.2343          0.0234          0.0000          soil1          
12.66           0.62            0.6733          0.2966          0.0301          0.0000          soil1          
14.88           0.62            0.6348          0.3274          0.0378          0.0000          soil1          
12.67           0.62            0.6755          0.2946          0.0299          0.0000          soil1          
12.69           0.62            0.6733          0.2965          0.0301          0.0000          soil1          
15.37           0.67            0.4937          0.4513          0.0550          0.0001          soil1          
13.57           0.68            0.4940          0.4555          0.0505          0.0000          soil1          
13.09           0.67            0.5476          0.4089          0.0435          0.0000          soil1          
14.32           0.70            0.4290          0.5110          0.0600          0.0001          soil2          
13.02           0.70            0.4424          0.5024          0.0552          0.0000          soil2          
12.36           0.68            0.5051          0.4481          0.0468          0.0000          soil1          
13.14           0.68            0.5046          0.4470          0.0483          0.0000          soil1          
12.75           0.71            0.4097          0.5317          0.0585          0.0001          soil2          
14.34           0.74            0.2732          0.6453          0.0814          0.0001          soil2          
13.88           0.75            0.2494          0.6669          0.0836          0.0001          soil2          
14.00           0.74            0.2977          0.6256          0.0767          0.0001          soil2          
13.45           0.73            0.3163          0.6113          0.0724          0.0001          soil2          
15.58           0.76            0.2177          0.6869          0.0952          0.0001          soil2          
14.75           0.78            0.1525          0.7429          0.1044          0.0001          soil2          
14.30           0.78            0.1694          0.7313          0.0992          0.0001          soil2          
15.02           0.77            0.1892          0.7125          0.0982          0.0001          soil2          
13.51           0.74            0.2680          0.6524          0.0796          0.0001          soil2          
16.62           0.82            0.0679          0.7943          0.1376          0.0002          soil2          
21.35           0.93            0.0034          0.7383          0.2577          0.0006          soil2          
16.54           0.83            0.0619          0.7983          0.1396          0.0002          soil2          
17.93           0.89            0.0148          0.7993          0.1856          0.0003          soil2          
16.71           0.85            0.0362          0.8090          0.1545          0.0002          soil2          
17.35           0.90            0.0117          0.8006          0.1874          0.0003          soil2          
16.66           0.85            0.0337          0.8100          0.1560          0.0002          soil2          
17.25           0.89            0.0134          0.8031          0.1833          0.0003          soil2          
17.70           0.89            0.0133          0.7997          0.1866          0.0003          soil2          
20.76           0.93            0.0037          0.7466          0.2491          0.0006          soil2          
19.81           0.93            0.0040          0.7581          0.2373          0.0005          soil2          
18.11           0.90            0.0099          0.7923          0.1974          0.0004          soil2          
17.06           0.91            0.0083          0.7971          0.1943          0.0003          soil2          
18.50           0.93            0.0043          0.7720          0.2232          0.0004          soil2          
19.05           0.94            0.0032          0.7590          0.2373          0.0005          soil2          
19.70           0.98            0.0010          0.7180          0.2803          0.0007          soil2          
20.08           0.98            0.0009          0.7128          0.2856          0.0007          soil2          
17.88           1.01            0.0004          0.7065          0.2925          0.0006          soil2          
19.20           1.01            0.0004          0.6906          0.3083          0.0008          soil2          
20.35           1.02            0.0003          0.6647          0.3342          0.0009          soil2          
20.25           1.03            0.0002          0.6521          0.3468          0.0010          soil2          
19.56           1.02            0.0003          0.6731          0.3258          0.0008          soil2          
20.63           1.07            0.0000          0.5936          0.4051          0.0013          soil2          
17.61           0.97            0.0016          0.7529          0.2450          0.0005          soil2          
19.90           1.02            0.0003          0.6690          0.3298          0.0009          soil2          
20.62           1.01            0.0004          0.6779          0.3208          0.0009          soil2          
23.40           1.06            0.0001          0.5656          0.4328          0.0016          soil2          
21.86           1.06            0.0001          0.5925          0.4061          0.0013          soil2          
22.98           1.12            0.0000          0.4814          0.5165          0.0021          soil3          
23.40           1.11            0.0000          0.4901          0.5078          0.0021          soil3          
24.48           1.15            0.0000          0.4050          0.5921          0.0029          soil3          
22.93           1.16            0.0000          0.4159          0.5815          0.0026          soil3          
23.75           1.23            0.0000          0.2681          0.7277          0.0042          soil3          
24.05           1.18            0.0000          0.3578          0.6389          0.0033          soil3          
22.21           1.15            0.0000          0.4463          0.5514          0.0023          soil3          
23.50           1.15            0.0000          0.4153          0.5821          0.0027          soil3          
29.96           1.25            0.0000          0.1642          0.8283          0.0075          soil3          
30.25           1.25            0.0000          0.1593          0.8330          0.0077          soil3          
30.28           1.23            0.0000          0.1848          0.8081          0.0071          soil3          
42.54           1.37            0.0000          0.0153          0.9596          0.0251          soil3          
44.50           1.37            0.0000          0.0105          0.9609          0.0287          soil3          
37.71           1.34            0.0000          0.0368          0.9457          0.0175          soil3          
35.49           1.26            0.0000          0.0878          0.9002          0.0120          soil3          
42.08           1.43            0.0000          0.0095          0.9619          0.0287          soil3          
30.58           1.11            0.0000          0.3330          0.6624          0.0045          soil3          
17.61           0.89            0.0153          0.8020          0.1824          0.0003          soil2          
23.63           1.31            0.0000          0.1576          0.8365          0.0059          soil3          
40.88           1.39            0.0000          0.0162          0.9597          0.0240          soil3          
28.54           0.94            0.0008          0.5903          0.4071          0.0018          soil2          
23.90           0.94            0.0020          0.6915          0.3056          0.0009          soil2          
24.14           0.98            0.0006          0.6507          0.3475          0.0012          soil2          
30.00           1.18            0.0000          0.2542          0.7401          0.0056          soil3          
32.02           1.17            0.0000          0.2298          0.7637          0.0065          soil3          
46.60           1.51            0.0000          0.0019          0.9517          0.0464          soil3          
41.47           1.57            0.0000          0.0022          0.9554          0.0424          soil3          
21.00           0.96            0.0017          0.7225          0.2751          0.0007          soil2          
43.21           1.86            0.0000          0.0000          0.8744          0.1256          soil3          
53.41           1.91            0.0000          0.0000          0.7957          0.2043          soil3          
24.91           0.55            0.2673          0.5579          0.1744          0.0004          soil2          
65.57           3.08            0.0000          0.0000          0.0034          0.9966          soil4          
68.45           2.66            0.0000          0.0000          0.0591          0.9409          soil4          
59.13           4.71            0.0000          0.0000          0.0000          1.0000          soil4          
55.58           4.71            0.0000          0.0000          0.0000          1.0000          soil4          
52.04           4.70            0.0000          0.0000          0.0000          1.0000          soil4          
8.65            0.50            0.8515          0.1364          0.0121          0.0000          soil1          
12.04           0.51            0.8228          0.1605          0.0167          0.0000          soil1          
15.42           0.51            0.7580          0.2142          0.0278          0.0000          soil1          
18.81           0.52            0.6364          0.3103          0.0532          0.0001          soil1          
25.79           0.52            0.2190          0.5695          0.2110          0.0005          soil2          
20.35           0.39            0.4731          0.4119          0.1149          0.0002          soil1          
22.14           0.42            0.3920          0.4641          0.1436          0.0002          soil2          
15.42           0.30            0.5728          0.3424          0.0847          0.0001          soil1          
18.81           0.38            0.5424          0.3653          0.0923          0.0001          soil1          
21.52           0.52            0.4875          0.4191          0.0932          0.0002          soil1          
17.05           0.44            0.7036          0.2524          0.0439          0.0000          soil1          
10.81           0.40            0.8442          0.1392          0.0166          0.0000          soil1          
13.41           0.51            0.8022          0.1777          0.0201          0.0000          soil1          
10.42           0.44            0.8548          0.1311          0.0142          0.0000          soil1          
19.28           0.66            0.4151          0.5036          0.0812          0.0001          soil2          
16.15           0.68            0.4499          0.4872          0.0628          0.0001          soil2          
18.53           0.53            0.6410          0.3086          0.0503          0.0001          soil1          
17.88           0.82            0.0652          0.7881          0.1464          0.0002          soil2          
18.44           0.67            0.4048          0.5168          0.0783          0.0001          soil2          
16.20           0.72            0.3083          0.6087          0.0829          0.0001          soil2          
9.46            0.39            0.8546          0.1304          0.0150          0.0000          soil1          
9.52            0.40            0.8570          0.1285          0.0145          0.0000          soil1          
9.29            0.46            0.8629          0.1250          0.0121          0.0000          soil1          
10.08           0.44            0.8582          0.1283          0.0135          0.0000          soil1          
9.69            0.42            0.8598          0.1265          0.0137          0.0000          soil1          
9.24            0.46            0.8638          0.1241          0.0121          0.0000          soil1          
9.83            0.46            0.8593          0.1279          0.0128          0.0000          soil1          
9.96            0.47            0.8557          0.1314          0.0129          0.0000          soil1          
10.96           0.47            0.8468          0.1388          0.0144          0.0000          soil1          
